Subsystem,Stage,ItemClass,PreferredCandidate,AltCandidate,Manufacturer,MPN,Qty,Supplier,SupplierRegion,UnitCost,Currency,QuoteDate,LeadTime,Risk,Status,Notes,Mass_g,PeakPower_W,Envelope_mm,RequirementIDs,RiskIDs,ADRIDs,ProcedureIDs,ProcurementState,EvidenceRef
ADCS,Flight-Like,ADCS sensor suite,TBD — sensores tras CONOPS y error budget,TBD,TBD,TBD,TBD,TBD,TBD,TBD,USD,TBD,TBD,High,Open,Arquitectura y cantidad TBD; no existe ADCS adoptado.,TBD,TBD,TBD,"ADCS-REQ-01;ADCS-REQ-02","RSK-ADCS-01","ADR-20260727-orbit-attitude-analysis-reopened","PROC-ADCS-001",TBD,TBD
ADCS,Flight-Like,ADCS actuator suite,TBD — actuadores tras release rates/control authority,TBD,TBD,TBD,TBD,TBD,TBD,TBD,USD,TBD,TBD,High,Open,Actuadores driver magnetics y consumo TBD.,TBD,TBD,TBD,"ADCS-REQ-01;ADCS-REQ-02","RSK-ADCS-01","ADR-20260727-orbit-attitude-analysis-reopened","PROC-ADCS-001",TBD,TBD
Launch Safety,Flight-Like,Deployment switch,TBD — CDS/ICD compliant,TBD,TBD,TBD,TBD,TBD,TBD,TBD,USD,TBD,TBD,High,Open,Debe desconectar funciones powered y tolerar fault tests; ubicación y cantidad final dependen del ICD.,TBD,TBD,TBD,"COMP-REQ-02","RSK-LAUNCH-01","ADR-20260727-verification-and-review-governance","PROC-EPS-001",TBD,TBD
Launch Safety,Flight-Like,Remove Before Flight device,TBD — CDS/ICD compliant,TBD,TBD,TBD,TBD,TBD,TBD,TBD,USD,TBD,TBD,High,Open,RBF obligatorio en baseline; implementación e interfaz TBD.,TBD,TBD,TBD,"COMP-REQ-02","RSK-LAUNCH-01","ADR-20260727-verification-and-review-governance","PROC-EPS-001",TBD,TBD
Launch Safety,Flight-Like,RF inhibit chain,TBD — three independent inhibits minimum,TBD,TBD,TBD,TBD,TBD,TBD,TBD,USD,TBD,TBD,High,Open,Mínimo tres inhibits independientes; ICD puede exigir más.,TBD,TBD,TBD,"COMP-REQ-02","RSK-LAUNCH-01","ADR-20260727-verification-and-review-governance","PROC-EPS-001;PROC-RF-001",TBD,TBD
Structure/Mechanisms,Flight-Like,Deployable inhibit and release chain,TBD — three independent inhibits minimum,TBD,TBD,TBD,TBD,TBD,TBD,TBD,USD,TBD,TBD,High,Open,Incluye stowage release y mínimo tres inhibits; diseño y cantidad TBD por ICD.,TBD,TBD,TBD,"COMP-REQ-02","RSK-LAUNCH-01","ADR-20260727-verification-and-review-governance","PROC-MECH-001;PROC-ENV-001",TBD,TBD
EPS,Flight-Like,Battery pack protection network,TBD — complete 2S pack architecture,TBD,TBD,TBD,TBD,TBD,TBD,TBD,USD,TBD,TBD,High,Open,Debe descomponerse en FETs fusible secondary OVP balanceo shunt sensores térmicos conectores e interlocks.,TBD,TBD,TBD,"COMP-REQ-06;THR-REQ-03","RSK-EPS-01;RSK-EPS-02","ADR-20260218-battery-topology-2s-flight;ADR-20260727-thermal-power-baselines-reopened","PROC-EPS-001;PROC-THR-001",TBD,TBD
System Harness,Flight-Like,Flight harness and connectors,TBD — harness after ICD and layout,TBD,TBD,TBD,TBD,TBD,TBD,TBD,USD,TBD,TBD,High,Open,Wire gauges derating locking keying strain relief mass and routing TBD.,TBD,TBD,TBD,"COMP-REQ-01;ENV-REQ-01","RSK-MECH-01;RSK-ENV-01","ADR-20260727-cubesat-1p5u-cds-envelope;ADR-20260727-verification-and-review-governance","PROC-MECH-001;PROC-ENV-001",TBD,TBD
Radiation,Flight-Like,Latch-up protection and current limiting,TBD — per parts radiation analysis,TBD,TBD,TBD,TBD,TBD,TBD,TBD,USD,TBD,TBD,High,Open,No watchdog-only credit; thresholds segmentation and recovery TBD.,TBD,TBD,TBD,"RAD-REQ-01","RSK-RAD-01","ADR-20260727-verification-and-review-governance","PROC-RAD-001",TBD,TBD
Radiation,Flight-Like,Resilient nonvolatile storage,TBD — EDAC redundancy and recovery architecture,TBD,TBD,TBD,TBD,TBD,TBD,TBD,USD,TBD,TBD,High,Open,Part selection scrubbing rollback filesystem recovery and shielding TBD.,TBD,TBD,TBD,"RAD-REQ-01;DATA-REQ-01","RSK-RAD-01;RSK-DATA-01","ADR-20260727-verification-and-review-governance","PROC-RAD-001;PROC-DATA-001",TBD,TBD
